what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1516635781924
started,bundle,org.eclipse.jst.j2ee,1.1.402.v201009151730,"org.eclipse.jst.j2ee",1516635781962
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1516635782205
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1516635782377
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1516635782433
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516635782692
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1516635782735
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1516635782736
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516635785344
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637781367
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637786994
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1516637793309
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1516637793367
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1516637793432
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637869607
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1516637873092
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1516637877924
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637886999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637887054
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637888718
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1516637888751
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1516637888751
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1516637889783
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637893156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637917419
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637925050
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637929099
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637935422
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1516637946006
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637946893
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1516637947637
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516637947684
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1516637947827
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1516637948219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516637958795
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516638182558
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1516638187552
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516638192905
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516638229879
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1516638231120
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1516638231148
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1516638231196
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1516638231216
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1516638231227
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516638246804
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516638292665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516638296821
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516638313994
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516638318097
started,bundle,org.eclipse.jst.j2ee.ui,1.1.402.v201009080200,"org.eclipse.jst.j2ee.ui",1516638326647
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1516638326649
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516638336885
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1516638336934
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1516638336934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516638342414
started,bundle,org.eclipse.jst.common.frameworks,1.1.402.v201009081300,"org.eclipse.jst.common.frameworks",1516638350053
started,bundle,org.eclipse.jst.j2ee.web,1.1.402.v201008242000,"org.eclipse.jst.j2ee.web",1516638350129
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1516638350145
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516662054566
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1516662054654
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1516662054654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1516662055543
